edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
138,730.0,893.0,2.0,2.0,57.0,220.0,3.0,3.0,0.356504499912262,0.6111586689949036,False,0,0,True,False
139,730.0,894.0,2.0,2.0,57.0,221.0,3.0,3.0,0.34549549221992487,0.6093361377716064,False,0,0,True,False
140,730.0,895.0,2.0,2.0,57.0,222.0,3.0,3.0,0.3433025777339936,0.6190007328987122,False,0,0,True,False
141,730.0,896.0,2.0,2.0,57.0,223.0,3.0,3.0,0.3462108075618744,0.637886643409729,False,0,0,True,False
142,730.0,897.0,2.0,2.0,57.0,224.0,3.0,3.0,0.35039135813713074,0.6639663577079773,False,0,0,True,False
143,730.0,898.0,2.0,2.0,57.0,225.0,3.0,3.0,0.3539799451828003,0.6953449845314026,False,0,0,True,False
144,730.0,899.0,2.0,2.0,57.0,226.0,3.0,3.0,0.3576040863990784,0.7300986647605896,False,0,0,True,False
145,731.0,893.0,2.0,2.0,58.0,220.0,3.0,3.0,0.3525749146938324,0.5995436906814575,False,0,0,True,False
146,731.0,894.0,2.0,2.0,58.0,221.0,3.0,3.0,0.33147504925727844,0.5892246961593628,False,0,0,True,False
147,731.0,895.0,2.0,2.0,58.0,222.0,3.0,3.0,0.3203867375850677,0.5906205177307129,False,0,0,True,False
148,731.0,896.0,2.0,2.0,58.0,223.0,3.0,3.0,0.3166898787021637,0.6023523211479187,False,0,0,True,False
149,731.0,897.0,2.0,2.0,58.0,224.0,3.0,3.0,0.31658935546875,0.6230964064598083,False,0,0,True,False
150,731.0,898.0,2.0,2.0,58.0,225.0,3.0,3.0,0.31770405173301697,0.6513901352882385,False,0,0,True,False
151,731.0,899.0,2.0,2.0,58.0,226.0,3.0,3.0,0.3202788829803467,0.6854310035705566,False,0,0,True,False
152,731.0,900.0,2.0,2.0,58.0,227.0,3.0,3.0,0.32617244124412537,0.7231279015541076,False,0,0,True,False
153,731.0,901.0,2.0,2.0,58.0,228.0,3.0,3.0,0.33671414852142334,0.7623999118804932,False,0,0,True,False
154,731.0,902.0,2.0,2.0,58.0,229.0,3.0,3.0,0.3513714373111725,0.8015362620353698,False,0,0,True,False
155,732.0,894.0,2.0,2.0,59.0,221.0,3.0,3.0,0.3289244472980499,0.5741464495658875,False,0,0,True,False
156,732.0,895.0,2.0,2.0,59.0,222.0,3.0,3.0,0.3071039915084839,0.5669000744819641,False,0,0,True,False
157,732.0,896.0,2.0,2.0,59.0,223.0,3.0,3.0,0.294493168592453,0.570037841796875,False,0,0,True,False
158,732.0,897.0,2.0,2.0,59.0,224.0,3.0,3.0,0.2882020175457001,0.5833165645599365,False,0,0,True,False
159,732.0,898.0,2.0,2.0,59.0,225.0,3.0,3.0,0.2856617569923401,0.6061622500419617,False,0,0,True,False
160,732.0,899.0,2.0,2.0,59.0,226.0,3.0,3.0,0.2865726351737976,0.6372427344322205,False,0,0,True,False
161,732.0,900.0,2.0,2.0,59.0,227.0,3.0,3.0,0.2924069166183472,0.6744629740715027,False,0,0,True,False
162,732.0,901.0,2.0,2.0,59.0,228.0,3.0,3.0,0.3042518496513366,0.7153947949409485,False,0,0,True,False
163,732.0,902.0,2.0,2.0,59.0,229.0,3.0,3.0,0.32129925489425654,0.7578425407409669,False,0,0,True,False
164,732.0,903.0,2.0,2.0,59.0,230.0,3.0,3.0,0.3412855863571167,0.8000785708427429,False,0,0,True,False
165,733.0,894.0,2.0,2.0,60.0,221.0,3.0,3.0,0.34077802300453186,0.5653453469276428,False,0,0,True,False
